bookId,title,new_isbn,new_author
65030.Confessions_of_a_Crap_Artist,Confessions of a Crap Artist,0586087257,Philip K. Dick
144758.Fire_by_Night,Fire by Night,0062459104,Teresa Messineo
202292.The_First_Wives_Club,The First Wives Club,9780749336554,Olivia Goldsmith
11428.Forever,Forever,0451073606,Kathleen Winsor
568568.Betwixt,Betwixt,9780316022514,Tara Bray Smith
614558.Dragon_Harper,Dragon Harper,9781423314721,Anne McCaffrey
568104.Ironhand_s_Daughter,Ironhand's Daughter,9781857238518,David A. Gemmell
24096.Leonardo_s_Notebooks,Leonardo's Notebooks,9781579125219,Leonardo da Vinci
105687.All_Souls,All Souls: A Family Story from Southie,Book not found,Author not found
532069.Pink_and_Say,Pink and Say,9789573239154,Patricia Polacco
124718.One_Man_s_Wilderness,One Man's Wilderness: An Alaskan Odyssey,Book not found,Author not found
2985546-death-by-bikini,Death by Bikini,0142411175,Linda Gerber
7092507-you-wish,You Wish,9022985202,David Baldacci
3134981-joker,Joker,0330020757,Edgar Wallace
10637697-past-perfect,Past Perfect,9780743242165,Susan Isaacs
165818.The_River_King,The River King,9780824022785,John Ruskin
7823600-personal-demons,Personal Demons,1400135516,Kelley Armstrong
300932.Lion_of_Ireland,Lion of Ireland,0395285887,Morgan Llywelyn
225343.Heartburn,Heartburn,9780816136162,Nora Ephron
3407345-fire-and-ice,Fire and Ice,0061543004,Erin Hunter
31352.Songmaster,Songmaster,0786178426,Orson Scott Card
5041503-kaspar-prince-of-cats,"Kaspar, Prince of Cats",9780007385935,Michael Morpurgo
950018.Catch_of_the_Day,Catch of the Day,0613171322,Emily Lloyd
13260060-jaina-proudmoore,Jaina Proudmoore: Tides of War,9781451697919,Christie Golden
9553614-across-the-hall,Across The Hall,9781926760827,N. M. Facile
37338.Wicked_Ties,Wicked Ties,0739478982,Shayla Black
142460.Flashman_at_the_Charge,Flashman at the Charge,5552756207,George MacDonald Fraser
87424.Tintin_in_the_Land_of_the_Soviets,Tintin in the Land of the Soviets,0785909788,Hergé
69006.Legend,Legend,9798509698453,Small Small Jabir
33457.Practical_Demonkeeping,Practical Demonkeeping,9780312951467,Christopher Moore
16119090-second-rate-chances,Second Rate Chances,Book not found,Author not found
3418598-kinderen-van-moeder-aarde,Kinderen van Moeder Aarde,9789060696125,Author not found
1999475.A_Million_Miles_in_a_Thousand_Years,A Million Miles in a Thousand Years: What I Learned While Editing My Life,Book not found,Author not found
143999.South,South: The Story of Shackleton's Last Expedition 1914-1917,9781781396537,Sir Ernest Henry Shackleton
857502.Concerning_the_Spiritual_in_Art,Concerning the Spiritual in Art,1421903792,Wassily Kandinsky
87265.Quincas_Borba,Quincas Borba,1520353472,Machado de Assis
9706200-a-estreia-de-fani,A estreia de Fani,9788589239844,invalid author
16101018-the-day-the-crayons-quit,The Day the Crayons Quit,9573274140,Drew Daywalt
16144868-darkness-splintered,Darkness Splintered,0935480455,Lucía Guerra-Cunningham
1805208.Sauve_Moi,Sauve-Moi,9782744191558,Guillaume Musso
22237681-american-savages,American Savages,1587216752,James Jess Hannon
91202.Chariots_of_The_Gods,Chariots of The Gods,0425037940,Erich von Däniken
38703.Small_Steps,Small Steps,9780747587156,Louis Sachar
6295267-tegami-bachi,"Tegami Bachi: Letter Bee, Volume 1",Book not found,Author not found
3438447-la-emperatriz-de-los-et-reos,La Emperatriz de los Etéreos,8420472700,Laura Gallego García
884536.Eleanor_Roosevelt_Volume_1,"Eleanor Roosevelt, Volume 1: 1884-1933",Book not found,Author not found
3287351-mieses-karma,Mieses Karma,9783499332777,David Safier
21570318-crimson-bound,Crimson Bound,148449377X,Rosamund Hodge
22573856-little-peach,Little Peach,9780062266972,Peggy Kern
89376.Heaven,Heaven,9781857923896,Richard Baxter
15748545-la-noche-en-que-frankenstein-ley-el-quijote,La noche en que Frankenstein leyó el Quijote,9788408009610,Santiago Posteguillo Gomez
24694092-laurus,Laurus,9781513295688,Vernon Lee
1010397.Last_Letters_of_Jacopo_Ortis,Last Letters of Jacopo Ortis,9781847498403,Ugo Foscolo
31554413-the-boy-on-the-bridge,The Boy on the Bridge,0356503569,M. R. Carey
20701984-el-deafo,El Deafo,9781419710209,Cece Bell
6197.The_Lives_of_Animals,The Lives of Animals,0061341886,Christopher Bram
12014.Complicity,Complicity,8497620704,Atul Gawande
70489.There_s_Treasure_Everywhere,There's Treasure Everywhere,9780439265782,Bill Watterson
18505796-10-happier,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Book not found,Author not found
28335696-persepolis-rising,Persepolis Rising,9780356510316,James S. A. Corey
17339558-how-to-run-with-a-naked-werewolf,How to Run with a Naked Werewolf,1476706026,Molly Harper
42143.The_Land_of_Laughs,The Land of Laughs,9780670417551,Jonathan Carroll
3637.Bread_Givers,Bread Givers,0143137719,Anzia Yezierska
82405.Jesus_of_Nazareth,Jesus of Nazareth: From the Baptism in the Jordan to the Transfiguration,Book not found,Author not found
235662.The_Mayor_of_Castro_Street,The Mayor of Castro Street: The Life and Times of Harvey Milk,Book not found,Author not found
297186.L_A_Requiem,L.A. Requiem,9780345434470,Robert Crais
225385.Lust_Killer,Lust Killer,9780786241149,Andy Stack
68098.Fatal_Remedies,Fatal Remedies,9780434882069,Donna Leon
95660.The_Pretty_Committee_Strikes_Back,The Pretty Committee Strikes Back,0316115002,Lisi Harrison
727578.New_Seeds_of_Contemplation,New Seeds of Contemplation,1616368209,Thomas Merton
57981.The_End_of_History_and_the_Last_Man,The End of History and the Last Man,9780743284554,Francis Fukuyama
228990.The_Illearth_War,The Illearth War,0345326016,Stephen R. Donaldson
4950.The_Hungry_Tide,The Hungry Tide,1419340662,Amitav Ghosh
1567544.Ni_d_ve_ni_d_Adam,Ni d'Ève ni d'Adam,2353410111,Marie-Joseph Bertini
2327958.Damien,Damien,ISBN not found,Robert Louis Stevenson
9682277-screaming-in-the-silence,Screaming in the Silence,0982827369,Lydia Kelly
1112404.Shadow_Music,Shadow Music,0739357581,Julie Garwood
6349976-pretty-little-liars-box-set,Pretty Little Liars Box Set,0061801313,Sara Shepard
123768.Sept_jours_pour_une_ternit_,Sept jours pour une éternité...,2266136046,Marc Levy
44312.Alphabet_Weekends,Alphabet Weekends,0141941715,Elizabeth Noble
10714906-only-yours,Only Yours,9798603207933,MotzPotz Monograms
7937776-rogue,Rogue,9798579594396,Wilkie Collins
1312502.The_Awakening,The Awakening,9781647983024,Kate Chopin
10337453-the-queen,The Queen,1656960117,William Le Queux
567667.Walking_on_Glass,Walking on Glass,0708837638,Iain M. Banks
7707538-sugar-and-spice,Sugar and Spice,0061208442,Leda Swann
16599.Vampire_Hunter_D,Vampire Hunter D,1506731880,Hideyuki Kikuchi
4201106-a-rule-against-murder,A Rule Against Murder,1433251280,Louise Penny
92769.Heir_of_Sea_and_Fire,Heir of Sea and Fire,0345288823,Patricia A. McKillip
825377.The_Dot,The Dot,9780763667863,Peter H. Reynolds
9619.Bradbury_Stories,Bradbury Stories: 100 of His Most Celebrated Tales,Book not found,Author not found
13432620-the-mayfair-moon,The Mayfair Moon,1241479658,Duke De Medina-Pomar
13584400-kindred,Kindred,9788869982156,Octavia E. Butler
15767996-the-ballad-of-aramei,The Ballad of Aramei,Book not found,Author not found
13409405-riveted,Riveted,1426439695,James Branch Cabell
226113.Tallgrass,Tallgrass,9780312360207,Sandra Dallas
29393.Our_Band_Could_Be_Your_Life,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Book not found,Author not found
148875.The_Rising_Force,The Rising Force,9780590519229,Dave Wolverton
7552700-mass-effect,Mass Effect: Retribution,1841499846,Drew Karpyshyn
1479967.Tre_metri_sopra_il_cielo,Tre metri sopra il cielo,9788807819346,Federico Moccia
7433963-40,40 في معنى أن أكبر,Book not found,Author not found
177938.The_Harper_Hall_of_Pern,The Harper Hall of Pern,ISBN not found,Anne McCaffrey
16065602-the-forgotten-ones,The Forgotten Ones,ISBN not found,Cotton Mather
280352.The_Indian_Bride,The Indian Bride,9780156033367,Karin Fossum
200362.The_Cat_Who_Went_to_Heaven,The Cat Who Went to Heaven,9780020425809,Elizabeth Jane Coatsworth
