bookId,new_author,clean_author,birthplace,latlong,author_used
5664051-over-my-dead-body,Rex Stout,Michele Bardsley,"Noblesville, Indiana",40.05 -86.0213888888889,2
491244.A_Man_for_Amanda,Nora Roberts,Nora Roberts,"Silver Spring, Maryland",39.002441 -77.020791,1
78071.Warsworn,Elizabeth Vaughan,Elizabeth Vaughan,,,2
289627.A_Hustler_s_Wife,Nikki Turner,Nikki Turner,,,2
125545.Be_Careful_What_You_Wish_For_,Jeffrey Archer,R.L. Stine,,,2
688975.The_Concubine,Norah Lofts,Norah Lofts,England,51.5 -0.11666666666666667,1
152643.The_River_Between_Us,Liz Fenwick,Richard Peck,,,2
7744219-courting-miss-lancaster,Sarah M. Eden,Sarah M. Eden,,,2
161275.Superman,,Alan Moore,Northampton,52.2303748 -0.8937527,1
19842.The_Difference_Maker,,John C. Maxwell,"Garden City, Michigan",42.324444444444445 -83.33833333333334,1
352781.Omega,United States. Defense Mapping Agency. Hydrographic Center.,Jack McDevitt,,,2
2227528.The_Plague_of_Doves,Louise Erdrich,Louise Erdrich,"Little Falls, Minnesota",45.9775 -94.36416666666666,1
3034842-the-forbidden-tower,Marion Zimmer Bradley,Marion Zimmer Bradley,United States,38.88333333333333 -77.01666666666667,1
9685716-mr-monster,Paul Beavis,Dan Wells,,,2
8542611-the-four-corners-of-the-sky,Michael Malone,Michael Malone,,,2
12672711-minha-vida-fora-de-s-rie,,Paula Pimenta,,,2
172735.Dragonspell,Katharine Kerr,Katharine Kerr,"Cleveland, Ohio",,1
2310220.From_a_Distance,Deborah Curtis,Tamera Alexander,"DeKalb County, Georgia",33.77 -84.23,1
82022.A_Man_Called_Intrepid,William Stevenson,William Stevenson,,,2
10106.The_Children_of_Henry_VIII,J. A. Guy,Alison Weir,,,2
442347.The_Cereal_Murders,Diane Mott Davidson,Diane Mott Davidson,"Honolulu, Hawaii",,1
900567.Ast_rix_gladiateur,René Goscinny,René Goscinny,,,2
46725.Plagues_and_Peoples,William Hardy McNeill,William H. McNeill,,,2
104445.Rachel_s_Tears,,Beth Nimmo,,,2
667488.Blithe_Spirit,Noel Coward,Noël Coward,,,2
48119.Coyote_Waits,Tony Hillerman,Tony Hillerman,"Sacred Heart, Oklahoma",35.00111111111111 -96.80916666666667,1
228416.An_Eye_for_an_Eye,,John Saul,,,2
139176.The_Quiche_of_Death,M. C. Beaton,M.C. Beaton,,,2
271367.Tales_of_the_Slayers,Joss Whedon,Joss Whedon,New York City,40.71277777777778 -74.00611111111111,1
8495686-absolutely-positively,Jayne Ann Krentz,Heather Webber,"Cobb, California",38.82222222222222 -122.72305555555556,2
6096829-essex-county,James Robinson Newhall,Jeff Lemire,,,2
7456085-trespass,David Herbert Lawrence,Rose Tremain,London,51.507222222222225 -0.1275,1
51245.Amphigorey_Also,Edward Gorey,Edward Gorey,Chicago,41.88194444444444 -87.62777777777778,1
386270.Selected_Poems,Gaius Valerius Catullus,T.S. Eliot,,,2
345500.The_Sabbath,Abraham Joshua Heschel,Abraham Joshua Heschel,,,2
12840440-how-to-drive-a-dragon-crazy,G. A. Aiken,G.A. Aiken,,,2
10244911-the-beach-caf,Mohammed Mrabet,Lucy Diamond,,,2
1660794.Hurricane_Gold,Charles Higson,Charlie Higson,Frome,51.2279 -2.3215,1
6318426-front-and-center,Catherine Gilbert Murdock,Catherine Gilbert Murdock,,,2
10209997-the-night-strangers,Linda Howard,Chris Bohjalian,"White Plains, New York",41.04 -73.7786111111111,1
114939.Flashman_and_the_Dragon,George MacDonald Fraser,George MacDonald Fraser,Carlisle,54.891 -2.944,1
263875.The_Hidden_Past,Jude Watson,Jude Watson,,,2
15694.The_First_Man,Colleen McCullough,Albert Camus,French Algeria,,1
2800168-devil-of-the-highlands,Lynsay Sands,Lynsay Sands,"Leamington, Ontario",42.06666666666667 -82.58333333333333,1
251962.Eternity,Eoin Colfer,Jude Deveraux,"Fairdale, Kentucky",,1
377347.Vector,Alexander MacFarlane,Robin Cook,Bellshill,55.816 -4.026,1
231610.The_World_As_I_See_It,Albert Einstein,Albert Einstein,Ulm,48.4 9.983333333333333,1
228221.The_Mask,Alexandre Dumas,Owen West,"Washington, D.C.",38.90472222222222 -77.01638888888888,1
6080265-omero-iliade,Alessandro Baricco,Alessandro Baricco,,,2
4451.People_of_the_Lie,M. Scott Peck,M. Scott Peck,New York (state),43.0 -76.0,1
87294.The_Tin_Woodman_of_Oz,L. Frank Baum,L. Frank Baum,"Chittenango, New York",43.045833333333334 -75.87388888888889,1
980426.Love_Poems,John Donne,Pablo Neruda,"Parral, Chile",-36.15 -71.83333333333333,1
6140017-michal,Nikos Kazantzakis,Jill Eileen Smith,Greece,37.96666666666667 23.716666666666665,2
223635.Mephisto,Klaus Mann,Klaus Mann,German Empire,52.516666666666666 13.4,1
83219.The_Excellent_Wife,Martha Peace,Martha Peace,,,2
17504621-trying-to-score,Toni Aleo,Toni Aleo,,,2
9635319-forsaken,Anna Katharine Green,Keary Taylor,Brooklyn,40.69277777777778 -73.99027777777778,2
17454088-if-you-leave,"Cole, Courtney (Novelist)",Courtney Cole,,,2
15738951-deep-down,Robert Michael Ballantyne,Lee Child,Coventry,52.408055555555556 -1.5105555555555554,1
12682801-the-lucky-ones,Liz Lawson,Anna Godbersen,,,2
199530.Can_t_Wait_to_Get_to_Heaven,Fannie Flagg,Fannie Flagg,"Birmingham, Alabama",33.5175 -86.80944444444444,1
17797253-under-the-wide-and-starry-sky,Nancy Horan,Nancy Horan,,,2
17607850-aftershock,David Wiedemer,Sylvia Day,,,2
7679.The_Terminal_Man,Michael Crichton,Michael Crichton,Chicago,41.88194444444444 -87.62777777777778,1
10661081-vampire-academy,Michelle Rowen,Michelle Rowen,,,2
12844.Power_of_Silence,Edgar Allan Poe,Carlos Castañeda,Boston,42.360277777777775 -71.05777777777777,2
18142413-wanted,George MacDonald,J. Kenner,Aberdeenshire (traditional),,2
17251114-thor,,Jason Aaron,,,2
10814753-the-lake-of-dreams,Kim Edwards,Kim Edwards,"Killeen, Texas",31.105555555555554 -97.72666666666667,1
7100200-and-one-last-thing,Molly Harper,Molly Harper,Kentucky,37.0 -86.0,1
18074107-out-of-line,Cheryl Hercus,Jen McLaughlin,,,2
18688131-i-want-to-hold-your-hand,Marie Force,Marie Force,,,2
20556438-dark-debt,Karen Hall,Chloe Neill,,,2
12029129-the-sea-of-monsters,,Robert Venditti,,,2
18302171-mirage,A. Merritt,Ashley Suzanne,"Beverly, New Jersey",40.064811 -74.921904,2
15946128-the-dirty-streets-of-heaven,Tad Williams,Tad Williams,"San Jose, California",37.33611111111111 -121.89055555555555,1
2967316-the-devil-s-punchbowl,Greg Iles,Greg Iles,Stuttgart,48.7775 9.18,1
23188449-smolder,Carina Alyce,L. Wilder,,,2
33880.Selected_Stories,Kate Chopin,Andre Dubus,"Lake Charles, Louisiana",30.21472222222222 -93.20861111111111,1
17909627-sing,Maya Angelou,C.D. Reiss,St. Louis,38.62722222222222 -90.19777777777777,2
2211675.I_Dreamed_of_Africa,Kuki Gallmann,Kuki Gallmann,Kingdom of Italy,,1
18759748-screwdrivered,Andrew Rowland,Alice Clayton,,,2
132641.Heart_of_Fire,Annie G. Savigny,Linda Howard,Alabama,33.0 -87.0,1
17364620-broken-and-screwed-2,Tijan,Tijan,,,2
20883847-the-autumn-republic,Brian McClellan,Brian McClellan,Cleveland,41.48222222222222 -81.66972222222222,1
70956.Red_Dwarf_Omnibus,,Grant Naylor,,,2
2909414-no-place-for-magic,E. D. Baker,E.D. Baker,,,2
12403881-twee-zusjes,,Kristin Hannah,"Garden Grove, California",33.778888888888886 -117.96027777777778,1
17336849-lost-found,Paul Publishing Lost & Found Log Book,Nicole Williams,,,2
25892.Arvet_efter_Arn,Jan Guillou,Jan Guillou,Sweden,59.35 18.066666666666666,1
81021.Angela_Carter_s_Book_of_Fairy_Tales,Angela Carter,Angela Carter,Eastbourne,50.77 0.28,1
18455385-love-and-sleepless-nights,Nick Spalding,Nick Spalding,,,2
234093.Sign_of_the_Cross,Evelyn Everett-Green,Chris Kuzneski,"Indiana, Pennsylvania",40.61666666666667 -79.15,1
285792.Thomas_Snowsuit,Robert N. Munsch,Robert Munsch,"Pittsburgh, Pennsylvania",,1
